"gmtNames","gmtDriver"
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR","Unclear"
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE","Unclear"
"REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE","Unclear"
"REACTOME_INNATE_IMMUNE_SYSTEM","Herbivore"
"REACTOME_INFLUENZA_INFECTION","Both"
"REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS","Unclear"
"REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS","Unclear"
"REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS","Unclear"
"REACTOME_NOD1_2_SIGNALING_PATHWAY","Unclear"
"REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS","Unclear"
"REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS","Both"
"REACTOME_TOLL_LIKE_RECEPTOR_CASCADES","Insectivore"
"REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT","Unclear"
"REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA","Unclear"
"REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS","Unclear"
"REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY","Both"
"REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY","Both"
"REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN","Unclear"
"REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX","Both"
"REACTOME_ARMS_MEDIATED_ACTIVATION","Unclear"
"REACTOME_P38MAPK_EVENTS","Unclear"
"REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE","Unclear"
"REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION","Unclear"
"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B","Unclear"
"REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1","Unclear"
"REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS","Unclear"
