"","GO_Biological_Process_2023.stat","GO_Biological_Process_2023.pval","GO_Biological_Process_2023.p.adj","GO_Biological_Process_2023.num.genes","GO_Biological_Process_2023.gene.vals"
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",-0.147479945277035,0.0656622585097084,0.679125737674931,13,"CASP2:308, PML:886, CHEK2:5124.5, CRADD:5124.5, TP53:5124.5, PLK3:5124.5, CDKN1A:5124.5, PIDD1:5124.5, PLK2:5124.5, MDM2:5124.5, CDKN1B:5124.5, TRIAP1:5124.5, GTSE1:5124.5"
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:0006978)",-0.185436648157496,0.198995513888837,0.814887427138546,4,"RPS6KA6:419, TP53:5124.5, KAT5:5124.5, HIPK2:5124.5"
"DNA Damage Response, Signal Transduction Resulting In Transcription (GO:0042772)",-0.0968093699515347,0.45346244834457,0.939968883639285,5,"RPS6KA6:419, TP53:5124.5, KAT5:5124.5, HIPK2:5124.5, MAD2L2:9561"
"DNA Dealkylation (GO:0035510)",-0.147444960614017,0.176756360194082,0.814887427138546,7,"FTO:256, ALKBH3:5124.5, MPG:5124.5, ASCC1:5124.5, ASCC2:5124.5, ALKBH2:5124.5, ASCC3:5124.5"
"DNA Dealkylation Involved In DNA Repair (GO:0006307)",-0.147444960614017,0.176756360194082,0.814887427138546,7,"FTO:256, ALKBH3:5124.5, MPG:5124.5, ASCC1:5124.5, ASCC2:5124.5, ALKBH2:5124.5, ASCC3:5124.5"
"DNA Deamination (GO:0045006)",0.0692509590147385,0.677833084955315,0.96360496528897,3,"CDADC1:1420, EXOSC3:7610.5, EXOSC5:7610.5"
"DNA Double-Strand Break Processing (GO:0000729)",0.179145195513792,0.0316874015795144,0.635119099173037,12,"DNA2:819, RBBP8:1674, HELQ:1839, SLX1A:2086, SLX4:2984, SMARCAD1:3115, RAD50:3406, EXD2:3542, NBN:7610.5, MRE11:7610.5, RAD52:7610.5, UBE2V2:7610.5"
"DNA Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing (GO:0010792)",0.223523472993438,0.121568055314746,0.770122689097633,4,"RBBP8:1674, SLX1A:2086, SLX4:2984, RAD52:7610.5"
"DNA Duplex Unwinding (GO:0032508)",-0.00501797104383922,0.921798978222718,0.989743606631583,32,"RTEL1:461, DDX1:704, MCM6:826, DHX9:5124.5, ERCC3:5124.5, NBN:5124.5, RECQL:5124.5, RECQL5:5124.5, RECQL4:5124.5, MRE11:5124.5, BLM:5124.5, DDX11:5124.5, RAD51:5124.5, MCM8:5124.5, ASCC1:5124.5, ASCC2:5124.5, ASCC3:5124.5, MCM4:5124.5, MCM5:5124.5, POT1:5124.5, MCM3:5124.5, IGHMBP2:5124.5, PURA:5124.5, RAD50:9329, CDC45:9362, MCM7:9653, GINS4:9715, TWNK:9853, MCM9:10933, MCM2:11731, SUPV3L1:12046, WRN:12528"
"DNA Geometric Change (GO:0032392)",0.0114892755969244,0.842467016799826,0.98808091821087,25,"WRN:207, SUPV3L1:689, DNA2:819, MCM9:1802, DHX36:1913, MTERF1:2148, RAD50:3406, HMGB1:7610.5, DHX9:7610.5, HMGB3:7610.5, HMGB2:7610.5, NBN:7610.5, ZRANB3:7610.5, RECQL4:7610.5, MRE11:7610.5, BLM:7610.5, DDX11:7610.5, MCM8:7610.5, ASCC1:7610.5, ASCC2:7610.5, ASCC3:7610.5, POT1:7610.5, IGHMBP2:7610.5, DDX1:12031, RTEL1:12274"
