"","names.currentPhenotypeVector.","names.currentCommonPhenotypeVector.","currentPhenotypeVector"
"vs_HLmarZib1","vs_HLmarZib1","Sable","Omnivore"
"vs_HLmicTav1","vs_HLmicTav1","Northern rufous mouse lemur","Omnivore"
"vs_HLmicTal1","vs_HLmicTal1","Talazac's shrew tenrec","Insectivore"
"vs_HLmicAgr2","vs_HLmicAgr2","Short-tailed field vole","Herbivore"
"vs_HLmolMol2","vs_HLmolMol2","Velvety free-tailed bat","Insectivore"
"vs_HLmunCri1","vs_HLmunCri1","Hairy-fronted muntjac","Herbivore"
"vs_HLmunRee1","vs_HLmunRee1","Reeves's muntjac","Herbivore"
"vs_HLmusSpi1","vs_HLmusSpi1","Steppe mouse","Omnivore"
"vs_HLmyoSep1","vs_HLmyoSep1","Myotis septentrionalis","Insectivore"
"vs_HLneoMos1","vs_HLneoMos1","Suni","Herbivore"
"vs_HLneoVis1","vs_HLneoVis1","American mink","Vertivore"
"vs_HLnycHum2","vs_HLnycHum2","Evening bat","Insectivore"
"vs_HLoreAme1","vs_HLoreAme1","Mountain goat","Herbivore"
"vs_HLoryGaz1","vs_HLoryGaz1","Gemsbok","Herbivore"
"vs_HLpedCap1","vs_HLpedCap1","South African springhare","Herbivore"
"vs_HLperCri1","vs_HLperCri1","Canyon mouse","Omnivore"
"vs_HLperEre1","vs_HLperEre1","Cactus mouse","Omnivore"
"vs_HLperNas1","vs_HLperNas1","Northern rock mouse","Omnivore"
"vs_HLperPol1","vs_HLperPol1","Oldfield mouse","Omnivore"
"vs_HLphaCin1","vs_HLphaCin1","Koala","Herbivore"
"vs_HLphoVit1","vs_HLphoVit1","Harbor seal","Vertivore"
"vs_HLphoSin1","vs_HLphoSin1","Vaquita","Vertivore"
"vs_HLphyDis3","vs_HLphyDis3","Pale spear-nosed bat","Omnivore"
"vs_HLpipKuh2","vs_HLpipKuh2","Kuhl's pipistrelle","Insectivore"
"vs_HLponBla1","vs_HLponBla1","La Plata dolphin","Vertivore"
"vs_HLpotFla1","vs_HLpotFla1","Kinkajou","Omnivore"
"vs_HLproPrz1","vs_HLproPrz1","Przewalski's gazelle","Herbivore"
"vs_HLproLot1","vs_HLproLot1","Raccoon","Omnivore"
"vs_HLproSim1","vs_HLproSim1","Greater bamboo lemur","Herbivore"
