"","main_Rho","Insectivore_Rho","Vertivore_Rho","main_P","Insectivore_P","Vertivore_P","main_p.adj","Insectivore_p.adj","Vertivore_p.adj","Driver","DriverNumeric"
"TIMM21",-1.98235154592505,1.15735718009449,-0.802182821249081,0.284639451847175,0.247126460907077,0.422447212009885,1,0.57187485588078,0.694762233228691,"DoubleBoth",4
"BPIFB2",-2.84331328344181,2.36398360741331,-1.21441297062696,0.0267882965120126,0.018079612547657,0.224590064847824,0.465604638109825,0.156880321084032,0.515454845686299,"Both",3
"REXO1",-0.851705426180586,-0.486969325205957,-1.17453417883115,1,0.626280069186711,0.240181130094334,1,0.851768219621363,0.532076237744914,"Vertivore",2
"MKRN2",1.02032615944011,1.46065374445388,1.90114816437088,1,0.144110489061268,0.0572826084144366,1,0.438088319053656,0.271552636800545,"Unclear",0
"GPATCH1",-0.276778135863063,0.194843404589564,0.0434067571508947,1,0.84551554147472,0.965377291352302,1,0.946160468265511,0.986473080886623,"DoubleBoth",4
"KEAP1",1.19090158756401,1.64171699161995,1.94244283917663,1,0.10064866862589,0.0520835134655637,1,0.373492277874784,0.26032440010137,"Unclear",0
"P2RY10",3.3326012977566,-1.01543539474674,3.32315590019695,0.0051622885771457,0.30989832814716,0.00089005156452494,0.225651934773058,0.634876390411694,0.0403703868786327,"Both",3
"TNS1",-0.941859129131701,-0.3194877861291,-1.18621217031362,1,0.749356651746051,0.235538521213943,1,0.906374298048783,0.52714178164166,"Vertivore",2
"NGFR",-0.854304770806198,0.767594602769895,-1.40854416833799,1,0.442728069908098,0.158969997879895,1,0.739888574609791,0.44267751622012,"Vertivore",2
"NTN1",0.636948072945579,0.343862659482469,1.10614282509784,1,0.730949574756453,0.268664705215157,1,0.898672036723105,0.561182645217775,"Vertivore",2
"ISOC1",1.08124809909519,1.40715915192355,2.35635581033008,1,0.159380201162277,0.018455230883943,1,0.462085371805712,0.156887691041499,"Vertivore",2
"MNT",1.59927175859883,-0.0977551656112397,1.3434753044383,0.658561390979641,0.922126709457963,0.179118117325574,1,0.974300164637596,0.465565314762601,"DoubleBoth",4
"AP3M2",1.32596288057415,0.671626843617976,2.10529573074431,1,0.501821284679336,0.0352655735162426,1,0.778990239992392,0.214627302165717,"Vertivore",2
"LAPTM4A",1.15626093885141,-0.343340939565626,0.631997378302336,1,0.731341985232674,0.527388590349407,1,0.898738351095923,0.772512326617386,"DoubleBoth",4
"PTPN18",-1.04470320140505,0.633557782017074,-0.929541639545095,1,0.526369460236621,0.352608456281798,1,0.793877952145239,0.638085819981383,"Both",3
"STK10",0.122597129775701,1.30221339561225,0.462910049886276,1,0.192843447185719,0.643428843563621,1,0.510751541737469,0.841707020022945,"Insectivore",1
"TBX21",-1.07438885424759,1.46275611187617,0.19954482057404,1,0.143534126136015,0.841836586491827,1,0.437156078643118,0.937796545107388,"Insectivore",1
"MRPS34",-0.441441940906648,0.575300858975096,-0.272106573510055,1,0.565087840688209,0.785540075259215,1,0.818178544860668,0.912966706870148,"Insectivore",1
"MAP2K5",0.883702615332731,-0.0708600352653475,1.20660590005967,1,0.943509150622053,0.227583953481043,1,0.979526024622613,0.518231272934973,"Vertivore",2
"TIGAR",2.43615929671771,0.403367814480529,3.15021349669763,0.0890648750846585,0.686677660484847,0.00163151189688709,0.81777940792369,0.878620003062747,0.0521569993097369,"Vertivore",2
"FGF20",0.859936120929205,1.75982047446085,1.41146733186395,1,0.078438250428086,0.158106861594072,1,0.328104671274541,0.44182686205572,"Unclear",0
"MTMR7",0.765212022219537,-1.00400437346422,-0.331975421154614,1,0.315376505558012,0.739907818600821,1,0.639769951443119,0.890057955730074,"Insectivore",1
"CPB2",-0.376885495621861,0.0747203222080079,-0.335411224133724,1,0.940437238088078,0.737314902225785,1,0.978400267694593,0.888550663415536,"Both",3
"FAM107B",-0.870955626511312,1.59818320973558,0.238883271476477,1,0.110002209321069,0.811196097508986,1,0.388890542984001,0.924424696297074,"Insectivore",1
"CDK13",-1.18610108130489,0.828679457471709,-1.27728750629633,1,0.407285812927255,0.201500762837535,1,0.712464465976461,0.49024927865627,"Vertivore",2
"TSPAN32",-1.15417484733613,1.35664859242162,-0.191886952526317,1,0.174892894052857,0.847830757903142,1,0.485916852880145,0.940691674676343,"Insectivore",1
"TRAM2",-0.0646277961911834,2.90483723890131,2.33622019767617,1,0.00367444121763219,0.0194797681602568,1,0.0683800432796788,0.160339192529983,"Unclear",0
"CLDN18",1.54209500852132,-1.04484813213808,1.34801861683509,0.738303046456549,0.296093165170313,0.177652394887502,1,0.622165160113729,0.464860386319568,"Both",3
"NDUFB4",0.612757120949325,2.97043226159855,1.95418766990389,1,0.00297380980690577,0.0506790269634448,1,0.0608548776545219,0.256801056593453,"Insectivore",1
"HEATR6",-2.18447611143259,3.59147056974114,0.765445990497765,0.173563684702785,0.000328817313169371,0.444006015860587,1,0.0189672591785136,0.710872788346999,"Insectivore",1
