,Background...Insectivore.Rho,Background...Insectivore.P,Background...Insectivore.p.adj
CBLN4,-1.91198188388202,0.0558785177420667,0.277245136847088
CLDN11,-0.896061596565576,0.370219866306286,0.68516471134754
FAM168A,-0.43227819340819,0.665539234230204,0.869556990386133
RELT,-0.624671576573017,0.532186631717377,0.797792470399807
PKP2,-0.683835847390966,0.494078827558726,0.775643943428513
YIPF1,2.05013407136946,0.0403513493837224,0.236519047903616
ADCK2,0.858892585517264,0.390399780436074,0.70069649441793
INPP4A,-0.117498947271158,0.906464678222075,0.970403934304313
SLC2A3,0.00529493485231644,0.995775272971866,0.998300432929303
STYK1,0.454576729981216,0.649413778923971,0.861755869224612
GNA11,1.58631916339514,0.112666927336128,0.392816524038872
CREB3L3,2.4782291151849,0.0132036328537567,0.132354783504355
HDAC7,0.79639789807571,0.425800799564043,0.727731459313957
MRPS35,2.47250843892835,0.0134168545926559,0.133256002507573
APPBP2,1.80500046967492,0.0710746085366781,0.312708891982679
CA11,0.516034424522805,0.605830366289771,0.841218228634232
ISOC2,0.294742029707802,0.768190953574276,0.914752216168486
CD22,1.66884097630875,0.0951488995527665,0.362375120500656
GSC2,0.918773697748536,0.358213952655663,0.674186290514155
KCNQ1,-1.234152110782,0.217146228524373,0.542350301973486
TRIB2,-1.62401818127624,0.10437192830513,0.379213956733441
OTUD5,0.583822358379773,0.559339834063831,0.814476268769411
GPKOW,2.09404145809084,0.0362562872827853,0.225227079683956
AQR,-0.564082633413148,0.572697896460693,0.822365361776344
LMCD1,-0.117616147933059,0.906371809557791,0.970403934304313
PSMC4,0.0540198959504026,0.956919312708495,0.984869206914216
FNDC8,-0.464346248447645,0.642399694010567,0.859677013279956
ACAP1,0.378437869228902,0.705105340708979,0.887690824471088
DERL2,-1.3473244848429,0.177875749677153,0.490338099747785
NOX3,1.60057439793702,0.109471216545267,0.388233478409036
ANO8,1.24720368109521,0.21232282351938,0.535862418936787
ICAM3,1.68302270693678,0.0923706957732041,0.357130516246042
CTTNBP2,-0.330324409927841,0.741154850663041,0.903174382907929
