"gmtNames","gmtDriver"
"REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE","Herbivore"
"REACTOME_INNATE_IMMUNE_SYSTEM","Carnivore"
"REACTOME_INFLUENZA_INFECTION","Unclear"
"REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS","Both"
"REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS","Herbivore"
"REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS","Unclear"
"REACTOME_NOD1_2_SIGNALING_PATHWAY","Unclear"
"REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS","Carnivore"
"REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS","Unclear"
"REACTOME_TOLL_LIKE_RECEPTOR_CASCADES","Herbivore"
"REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT","Unclear"
"REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA","Herbivore"
"REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS","Both"
"REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY","Unclear"
"REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY","Unclear"
"REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN","Both"
"REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX","Unclear"
"REACTOME_ARMS_MEDIATED_ACTIVATION","Unclear"
"REACTOME_P38MAPK_EVENTS","Unclear"
"REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE","Both"
"REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION","Unclear"
"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B","Unclear"
"REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1","Unclear"
"REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS","Unclear"
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1","Unclear"
"REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS","Both"
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","Herbivore"
"REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE","Carnivore"
"REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE","Unclear"
"REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS","Carnivore"
"REACTOME_TELOMERE_C_STRAND_SYNTHESIS_INITIATION","Both"
"REACTOME_ACTIVATION_OF_C3_AND_C5","Unclear"
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE","Unclear"
"REACTOME_ASSEMBLY_OF_THE_HIV_VIRION","Unclear"
"REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS","Both"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","Carnivore"
"REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE","Unclear"
"REACTOME_PHOSPHORYLATION_OF_THE_APC_C","Unclear"
"REACTOME_PHOSPHORYLATION_OF_EMI1","Both"
"REACTOME_UNWINDING_OF_DNA","Unclear"
"REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE","Unclear"
"REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS","Both"
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING","Both"
"REACTOME_SIGNALING_BY_EGFR","Unclear"
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM","Carnivore"
"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A","Unclear"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","Unclear"
"REACTOME_DARPP_32_EVENTS","Unclear"
"REACTOME_GAB1_SIGNALOSOME","Carnivore"
"REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING","Carnivore"
"REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION","Unclear"
"REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN","Both"
"REACTOME_EXTENSION_OF_TELOMERES","Carnivore"
"REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1","Both"
"REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE","Unclear"
