"","CH-Rho","CH-P","CH-p.adj","CH-significant","CO-Rho","CO-P","CO-p.adj","CO-significant","HO-Rho","HO-P","HO-p.adj","HO-significant","CH-CO-Overlap","CH-HO-Overlap","CO-HO-Overlap","CH-CO-HO-Overlap","CH-CO-Delta","CH-HO-Delta","CO-HO-Delta"
"PDGFA",2.61154407443324,0.0270403106377868,0.177589384771071,FALSE,1.35480644536914,0.526437697644367,1,FALSE,-0.998222142774118,0.954514954439768,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.888647699683533,2.55249017068544,1.66384247100191
"SMOC2",0.894660252654149,1,1,FALSE,1.08000466182477,0.840420312718721,1,FALSE,0.261226214712891,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.131058288579559,0.447905503662641,0.578963792242199
"ANXA6",1.82223230729721,0.205259233329112,0.640619069407176,FALSE,2.48053994313347,0.0393550695188978,0.301131043326371,FALSE,0.838875898242287,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.465493793406704,0.69533798516599,1.16083177857269
"AK5",0.0285125080720129,1,1,FALSE,0.398799571279127,1,1,FALSE,0.375204524800727,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.261832493379402,0.245148276012114,0.0166842173672888
"STYX",-0.0275226856096906,1,1,FALSE,0.0815782487001338,1,1,FALSE,0.108775672636487,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0771460104842649,0.0963774933804656,0.0192314828962007
"TYW5",-1.49484875676175,0.404861755101669,0.980649277624046,FALSE,-0.499306134312534,1,1,FALSE,0.896318290935493,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.703954939294078,1.69081043437654,0.986855495082457
"THRAP3",-1.32540346819234,0.555112101968631,1,FALSE,0.767773249629133,1,1,FALSE,2.01666815243649,0.131190466743221,0.896901633098771,FALSE,FALSE,FALSE,FALSE,FALSE,1.48009945139336,2.36320150615775,0.883102054764393
"ERO1B",-0.410891931248436,1,1,FALSE,-0.608096278461632,1,1,FALSE,-0.243498492611603,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.139444531193917,0.118365035586239,0.257809566780156
"HKDC1",2.67126427840626,0.0226698378464773,0.158780447243553,FALSE,0.234022097484062,1,1,FALSE,-2.22476202247162,0.07829165440336,0.732434966660964,FALSE,FALSE,FALSE,FALSE,FALSE,1.72339047352397,3.46201339821844,1.73862292469446
"OCA2",-1.28389045516846,0.59754086223874,1,FALSE,0.0869712900980048,1,1,FALSE,1.27433504059338,0.607634109479767,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.969345636147141,1.80893859585751,0.839592959710373
"FYN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELOVL2",-0.176472497088203,1,1,FALSE,1.63894267244945,0.303675598448237,0.955474837341196,FALSE,1.79851904966355,0.216284377867752,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.283692377049,1.39652991549427,0.112837538445275
"HNRNPA2B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
