,Background...Omnivore.Rho,Background...Omnivore.P,Background...Omnivore.p.adj
C1orf185,-0.881207218051675,0.378205673216996,0.750747948726553
MRPS2,-0.91842652883789,0.358395607240483,0.73627982825152
SLC16A12,-1.00112528916454,0.316766240195624,0.708440561341957
OLFM1,2.42449925060702,0.0153295149641886,0.228686702999821
IFIT5,-0.00456026332815225,0.996361448908495,0.998834645658933
IFIT1,1.79223567535808,0.0730952222287765,0.406398262458426
IFIT3,-0.129621894643625,0.89686557996898,0.972338951466477
COL5A1,0.959255710015498,0.337429941483118,0.723194054133155
BEND5,-0.344324231898344,0.7306024627734,0.919152881904064
AGBL4,-0.77515016160275,0.438250933848219,0.78901090617578
SPATA6,-0.222916586319964,0.823600427154415,0.949485666340084
VAV2,0.462141752828376,0.643979670117754,0.887671569605464
CH25H,-0.362068972960806,0.717300488868505,0.913663402303273
STAU1,-2.21112835043857,0.0270269502275337,0.280910203460769
SARDH,2.47094845227013,0.0134755241488717,0.219294376570441
CMPK1,-0.969101326890192,0.332494635743677,0.718868276081904
TAL1,0.461969064100305,0.644103505331489,0.887671569605464
PDZK1IP1,0.972814032372905,0.330645737240392,0.718276877104417
SLC2A6,1.57951481802832,0.114218020399823,0.48841616419981
CYP4X1,0.914321429130346,0.36054797373523,0.738219099450391
AGTR2,0.88604818114499,0.375591564604298,0.748921772080937
ARFGEF2,0.0415342220749924,0.96687001111276,0.99171905520286
STAMBPL1,0.601227457806489,0.547688498583488,0.848274342851026
ADAMTS13,0.306624916425814,0.759128886077971,0.928747109384454
ANKRD22,0.412195695339982,0.680195992042494,0.901186600273849
IL13RA2,-1.84683750447938,0.0647706945007238,0.389036063312773
LIPJ,-2.2131306371216,0.0268886404413004,0.280910203460769
PREX1,0.594264061051771,0.552335512046181,0.849048354139065
REXO4,1.19363514802328,0.232620718814011,0.63763770515355
MKNK1,0.877221590681629,0.380366291116629,0.752861216942305
PTEN,NA,NA,NA
DMBX1,2.45439921466684,0.0141120216875793,0.221833773662471
STKLD1,1.09994736681131,0.271355055066106,0.673352642390638
AMOT,-0.697327150665285,0.485598080412783,0.818905425141227
SURF2,1.07407646246504,0.28278841294804,0.682910452931023
LHFPL1,-0.846872631808756,0.397066118626045,0.764585013338021
SURF1,-0.509988865740987,0.610059262298199,0.873859295909989
LURAP1,-1.17792539573454,0.2388263496596,0.643235553777915
SURF4,0.890882133331429,0.372992406294535,0.74682092781286
POMGNT1,-0.181918942010212,0.85564633896407,0.958573110671863
MINPP1,-2.17572709925211,0.029575672614775,0.291015815743017
NCOA3,-1.21306065319314,0.225106631939297,0.629190395024384
TSPAN1,1.89790038930924,0.0577092050839539,0.372692951807142
MRPL14,-0.0476254741581108,0.962014729619253,0.990189796622132
SNCG,-0.140306165735322,0.888418092962807,0.969650023173041
SURF6,1.64010073651866,0.100984223320677,0.462306447386267
TMEM69,-3.37398430287957,0.000740885924067102,0.076165089010218
MMRN2,1.70122309022384,0.0889011035720411,0.440117207879423
BMPR1A,-1.51194607903737,0.130547580374765,0.513631238645934
GBGT1,0.0488229432015723,0.961060397944411,0.989797220731799
CHRDL1,-1.79512889620698,0.0726331658153279,0.405479276616637
VEGFA,1.43553539251879,0.151134590347452,0.544333831469307
AKR1A1,1.82335185123236,0.0682501177723967,0.3942668691535
OPN4,-0.116703262331556,0.907095204977615,0.975236807222743
TMEM164,0.209536702262077,0.834029286971302,0.953206595454098
TESK2,-0.412300800900315,0.680118961690988,0.901186600273849
CCSER2,-0.320262806977148,0.74876911519895,0.925216587807567
TOE1,0.359169247330812,0.719468480868292,0.914411257070445
MUTYH,-1.59774941261639,0.110098757046604,0.481291516482617
KCNE5,0.561677831472867,0.574335540997778,0.857983475873039
LRIT1,2.90092829682479,0.0037205900306889,0.131703895437645
GTF3C5,1.60522788364445,0.108443663200578,0.478457589970164
IRS4,-0.884771417404313,0.376279928216242,0.749354680849921
MRPS18A,-0.575574856223926,0.564902580298601,0.85498340467667
GHITM,1.14843051414342,0.250790882853795,0.652877144132049
SPACA9,1.62033886294654,0.105159505007905,0.47058644941648
GTF3C4,2.23412451878112,0.0254748811424819,0.275374574024231
RSPH9,-0.203654326849708,0.838623635997961,0.953571823166932
MAD2L1BP,1.27361673626317,0.202799277963395,0.604411986589982
HECTD3,0.883088883749981,0.377188249751743,0.750052865129257
RAPGEF1,0.502962041180094,0.614990960199977,0.876195246886125
PTCH2,-1.62863633592024,0.103390027382649,0.467037275382827
DYDC2,-0.26833706557436,0.788439877826894,0.939104763271359
PLK3,0.801760559709218,0.422691477139781,0.778277415319826
DYDC1,-0.525642464896249,0.599136646189132,0.868592739962611
BEST4,0.16722793253102,0.867190706892933,0.962553790878678
UCK1,2.06655715944998,0.038775901124738,0.321953007469374
MAT1A,2.34143295241967,0.0192098759735134,0.248829168748156
KIF2C,-1.1717953300462,0.241279238068168,0.645575751714971
POMT1,0.0196391985081444,0.984331193968449,0.996988439841973
ATG4A,0.0794301870250384,0.936690458713702,0.982865796725919
POLH,-0.336183813285405,0.736732258410987,0.920472078818216
TMEM53,0.259430098361791,0.795303409311127,0.941741081848588
RNF220,-0.590248688402638,0.555023934469429,0.850222542622462
ERI3,-1.29946832913233,0.193783255527052,0.595698241970059
PLAC9,-1.18810678354935,0.234791342128321,0.639750919585241
PLPP7,1.74217242172841,0.0814782781287034,0.422691293882927
