,Background...Herbivore.Rho,Background...Herbivore.P,Background...Herbivore.p.adj
IL36A,-2.47582610654234,0.013292830426054,0.122563302866704
CCDC115,0.183066028690702,0.854746210468033,0.946641607372145
IMP4,-1.18573792047741,0.235725814265433,0.543611857955017
HS6ST1,2.39249509054885,0.0167342519732457,0.138530405475933
UGGT1,-0.758369053395987,0.448230078760243,0.727790820146198
GAD2,-2.19954780356883,0.0278389939583455,0.181623799311805
ECPAS,-0.94673646040725,0.343773086513744,0.647929519006697
TOR1B,-0.396490649561097,0.691743104452808,0.874290774599009
RALGPS1,0.959748649859479,0.337181731876747,0.642315685380235
OR1J1,-2.443928456189,0.0145283072523927,0.129148105410681
OR13C9,-4.06219249123692,4.86139640981357e-05,0.00346535012005201
DAB2IP,2.54373745449957,0.0109673484484942,0.108823749017495
SLC31A2,-0.158730158730158,0.873881476173794,0.954599106422172
ORM1,-0.643427158758333,0.51994696549872,0.777425402455393
STX17,1.54306903473031,0.122814026884501,0.395391046927689
BAAT,-0.549101655506442,0.582935689186308,0.814019971815144
GABBR2,-0.994712512616001,0.3198761070398,0.625616673058006
PSMB7,-0.175895112576732,0.860376345088012,0.949638892207278
PDCL,1.8256214757977,0.0679072986179571,0.290121275803526
ENPP2,-1.31661907096383,0.187966342993133,0.488990768688626
DERL1,1.00974072911963,0.312619523554528,0.618526609054205
CCN3,-1.11654853975689,0.264187404988804,0.576519864865098
RANBP6,2.30975878225063,0.0209015124157872,0.155368251661277
RNF38,-0.758995617096714,0.44785517864025,0.727537403292472
CCL21,-0.62675975726325,0.530816726308785,0.785003328845895
CCL27,-0.37164023576449,0.710160727565664,0.884337238254252
DCTN3,0.64669266109386,0.517830873798176,0.776456630335729
HINT2,0.581946448614674,0.560602752404752,0.802118661286427
KLC4,2.9560498007954,0.00311606772676296,0.052541461168119
GMPR,0.213710088338647,0.830773143735534,0.936843798830788
TMEM63B,0.511228745899746,0.60919089226315,0.829208177123377
TTBK1,-0.791509668112489,0.42864663661265,0.715215631278609
TINAG,-3.13513565349004,0.00171774659203957,0.0363201097551536
GCM1,0.644575511007542,0.519202308935864,0.77708084506673
RIPK1,-0.383203949930969,0.701568549538848,0.879113094579691
TUBB2B,-0.519192681047069,0.603626382380444,0.826164623523186
PSORS1C2,0.648008983553045,0.516979139881673,0.775905130786755
MRPS18B,0.247285128681956,0.804687567061681,0.926280639565898
IER3,-2.57303009814262,0.0100812440197,0.103567477651738
PGBD1,4.49783930230113,6.86475515023746e-06,0.000926251605628468
GTF2H4,1.93339356941808,0.0531877328333455,0.255977989608032
POU5F1,-2.04704022347948,0.0406541353394139,0.221726430375387
CLPS,-5.68370929058638,1.31804249917456e-08,1.53217371134815e-05
RNF144B,1.55165558986419,0.120744654239231,0.391680095524354
NRM,1.03118904892269,0.302452175074891,0.609766292092146
FAM8A1,-2.08893796292792,0.036713307950557,0.210108653773202
THAP12,0.582464967646564,0.560253531869317,0.802012724278738
LRRC32,1.87084103372042,0.0613671181528345,0.275421778781564
MRPL15,0.236190190266997,0.813285091240996,0.92967959900408
PI15,0.151067283835299,0.879922639991687,0.956613571972262
TTPA,-0.610024133520646,0.541845820931041,0.791326067023879
GGH,-0.340293367939363,0.733635611086461,0.892886325932169
SLCO5A1,-2.05945530657627,0.0394506422695994,0.217742186259382
