	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj	Herbivore...Omnivore.Rho	Herbivore...Omnivore.P	Herbivore...Omnivore.p.adj	Insectivore...Omnivore.Rho	Insectivore...Omnivore.P	Insectivore...Omnivore.p.adj	Herbivore...Vertivore.Rho	Herbivore...Vertivore.P	Herbivore...Vertivore.p.adj	Insectivore...Vertivore.Rho	Insectivore...Vertivore.P	Insectivore...Vertivore.p.adj	Omnivore...Vertivore.Rho	Omnivore...Vertivore.P	Omnivore...Vertivore.p.adj
ANKRD7	2.651565754	0.048071707	0.566837866	-0.239375677	1	1	-3.175092252	0.008987332	0.314309726	1.655761961	0.586620203	1	-0.505418485	1	1	1.956152113	0.302683426	1
IQCG	2.18797383	0.172029052	1	1.426532402	0.922288326	1	-0.923301638	1	1	2.777869632	0.03282994	0.730740228	1.042254724	1	1	1.804643915	0.426782529	1
LSG1	1.032528734	1	1	-0.566584349	1	1	-1.596267644	0.662574304	1	0.62751465	1	1	-0.143099737	1	1	1.035271229	1	1
RBM27	-1.117521933	1	1	1.671572816	0.567651534	1	2.846907555	0.026487708	0.519042239	0.855794962	1	1	1.577433966	0.688174231	1	-0.166201336	1	1
SPDL1	4.121470381	0.000225877	0.037534378	1.912216916	0.335090264	1	-2.545213309	0.065526601	0.797689751	1.492579608	0.813283587	1	-1.73047537	0.501272268	1	0.155101663	1	1
MINDY4	2.266999657	0.14034148	0.968622443	1.052186719	1	1	-1.35852051	1	1	0.749521543	1	1	-1.072262349	1	1	-0.033026067	1	1
TRPV5	0.247525628	1	1	2.076314813	0.227189065	1	1.610882254	0.643232332	1	3.627139989	0.001719468	0.196189708	3.266893018	0.006524086	0.49183063	2.268703108	0.139718319	1
ABCB6	2.190132289	0.171087865	1	0.860450508	1	1	-1.434679798	0.908270182	1	-0.764493573	1	1	-2.374494623	0.105437953	1	-1.39374394	0.980369654	1
PECR	0.278664886	1	1	0.399101754	1	1	0.077595204	1	1	-1.610855585	0.643267216	1	-1.748008763	0.482775061	1	-1.905331572	0.340421903	1
VDAC1	-1.167743008	1	1	0.836980856	1	1	2.240211926	0.150463007	1	-0.91231002	1	1	-0.203347791	1	1	-1.498529247	0.803974799	1
CDKL3	1.243778609	1	1	1.823631993	0.409246359	1	0.369098319	1	1	0.413661266	1	1	-0.567463552	1	1	-0.908124363	1	1
FSTL4	1.236565574	1	1	-0.033843385	1	1	-1.330644652	1	1	-2.074285982	0.228316553	1	-2.999221717	0.016240216	0.724410936	-2.110282058	0.209004409	1
