,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj,Insectivore...Omnivore.Rho,Insectivore...Omnivore.P,Insectivore...Omnivore.p.adj,Herbivore...Vertivore.Rho,Herbivore...Vertivore.P,Herbivore...Vertivore.p.adj,Insectivore...Vertivore.Rho,Insectivore...Vertivore.P,Insectivore...Vertivore.p.adj,Omnivore...Vertivore.Rho,Omnivore...Vertivore.P,Omnivore...Vertivore.p.adj
ANKLE2,-2.42260463274021,0.0924581244242431,0.58409869068515,0.506293016895807,1,1,2.83935952846707,0.0271225158475208,0.306421542166643,0.0199055676981355,1,1,1.98256152374891,0.284498572604266,1,-0.374659185248618,1,1
DDX47,-1.16565521577125,1,1,0.594069790971809,1,1,1.67339849323088,0.565493245730601,1,0.418692991319124,1,1,1.28278657780883,1,1,-0.0197159716943821,1,1
C1orf109,1.14820902686945,1,1,-0.331268805465517,1,1,-1.45039014828768,0.881698516781149,1,-0.752439948961553,1,1,-1.59144532114876,0.669056349952282,1,-0.511707985705784,1,1
RAD23B,1.00952038297463,1,1,2.0036346404173,0.270655273888224,1,0.811028425958491,1,1,1.65321571032061,0.589721821459879,1,0.805200441771491,1,1,0.205441307004481,1,1
TMCC2,0.164676719758896,1,1,0.797971391394324,1,1,0.587203393934891,1,1,-1.03577914432165,1,1,-1.12481976654898,1,1,-1.63566421630179,0.611459295151372,1
SYNE2,3.18056833487283,0.00881918810092807,0.137051271877077,-1.06429228376606,1,1,-4.15522562936043,0.000194980017732363,0.0136984798504528,0.284380113294329,1,1,-2.2397359958611,0.150648403376861,1,1.08335360749694,1,1
ST7L,0.621791104087302,1,1,1.59955692001049,0.658181471101251,1,0.820606011539156,1,1,1.66895324281762,0.570759879500281,1,1.09910887974776,1,1,0.493571431344665,1,1
GMFB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAGT1,-1.37773145498564,1,1,-1.64899954825831,0.594886363556922,1,-0.11953500394837,1,1,-1.61481906086652,0.638099304842743,1,-0.428055450761093,1,1,-0.352400487874324,1,1
DAPK1,-0.581055358624137,1,1,2.10952247889025,0.209397046826122,1,2.48209632238286,0.078367178219702,0.582058044966592,1.20080400973542,1,1,1.58060478744345,0.683810583035314,1,-0.384531502773271,1,1
ASIC4,-1.10154138440766,1,1,-0.78541061633116,1,1,0.36487627299609,1,1,-1.26342977046227,1,1,-0.3603405163436,1,1,-0.670270980668139,1,1
MPPED2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAX5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
