	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj														
IRAK1	1.291713387	1	1														
TSPAN14	-2.472572145	0.080486781	0.727504141														
BOLL	-1.119928202	1	1														
GALNT11	0.850190889	1	1														
FCHO2	0.73139218	1	1														
RNASE10	3.672304755	0.001442237	0.101358677														
DNAH14	1.327147383	1	1														
RAD52	0.631971957	1	1														
GASK1A	1.179964737	1	1														
NIPAL2	1.739756301	0.491410912	1														
CPS1	0.801309353	1	1														
ZNF652	1.084051667	1	1														
GPR35	-2.230154253	0.154423225	1														
RETREG2	-0.515619597	1	1														
PLEKHM1	1.380849683	1	1														
PRNP	-1.26876667	1	1														
ZBTB10	0.660922606	1	1														
PLIN1	-2.189244042	0.171474643	1														
RCBTB2	1.28083882	1	1														
AL354761	-0.061987139	1	1														
HOXC4	-0.392592128	1	1														
LBHD1	-0.313129425	1	1														
LCE6A	0.325029875	1	1														
SLC2A14	2.340404086	0.115577313	0.879713989														
CNTNAP5	1.659278513	0.582358097	1														
TTC21A	2.417509473	0.093762763	0.784477681														
PSMD13	0.327321472	1	1														
PGAP6	2.109928312	0.209187187	1														
RLN3	2.850298975	0.026206891	0.409117577														
GALNTL5	2.604968959	0.05512955	0.607583728														
RIMKLA	-0.146556138	1	1														
PKMYT1	0.053430786	1	1														
PIGV	2.174238528	0.178123358	1														
EBNA1BP2	1.151445977	1	1														
WRAP53	2.156727231	0.186161543	1														
PHLDB2	0.148478501	1	1														
GLB1L3	1.789533728	0.441173404	1														
UBE4A	-0.099303739	1	1														
ITPRID2	1.799223862	0.431899658	1														
AP5M1	1.351341191	1	1														
C3orf84	1.511805784	0.783499665	1														
DHRS9	1.472161533	0.845863574	1														
DELE1	2.352676716	0.111832986	0.868906367														
TMEM191C	-0.690544475	1	1														
FAM126A	1.006656403	1	1														
KBTBD13	1.43454402	0.908502458	1														
PCED1B	0.011813514	1	1														
CREB1	-1.217433418	1	1														
RNF32	1.473917966	0.843022079	1														
CHFR	-1.316871323	1	1														
HCAR1	1.269202541	1	1														
MAMLD1	-0.419130326	1	1														
PLCD4	2.976282502	0.017505957	0.343483609														
FBXO10	1.151453973	1	1														
DOCK8	-0.918780266	1	1														
AMOTL1	-1.233739428	1	1														
TMEM243	-1.437953403	0.902683655	1														
TERB1	1.024353338	1	1														
MORF4L2	1.17815691	1	1														
ERN1	0.151930996	1	1														
CTNNA3	0.247921875	1	1														
PCYOX1	2.157211065	0.185935336	1														
PPP1R9A	1.481048147	0.831562464	1														
SLC13A5	2.367195645	0.107540731	0.848465718														
PPT1	0.281901456	1	1														
CTSO	2.290092111	0.132095866	0.946067914														
C11orf95	1.91495338	0.332990696	1														
IFT74	-0.084561989	1	1														
CAPZB	0.383871552	1	1														
PRKD2	2.094216141	0.217444383	1														
BZW2	0.019927321	1	1														
SYNJ1	-0.727730455	1	1														
TPRG1	0.049818672	1	1														
NPC2	1.40767405	0.955365655	1														
USP19	-0.286277854	1	1														
ODF2	-1.47766801	0.836979966	1														
PATL2	1.941805577	0.312963849	1														
RGS6	1.683347547	0.553846986	1														
TMCO3	2.548801831	0.064856222	0.659574533														
CLEC12A	1.792194623	0.438610774	1														
PLPP2	-0.467489965	1	1														
PEX5	0.43832704	1	1														
ANKRD63	0.066783909	1	1														
HEMK1	2.598024822	0.05625703	0.61176517														
DENND4C	1.142748952	1	1														
SCRN1	-0.409353296	1	1														
TAAR9	1.274586814	1	1														
LAMP2	3.133472642	0.010365061	0.259820257														
GPAT2	-0.396090424	1	1														
WDR73	-0.215646374	1	1														
DLX3	-0.959325472	1	1														
DCTN2	0.717419399	1	1														
GSPT1	0.196870779	1	1														
UBE3B	1.091157208	1	1														
XIAP	-2.351224605	0.112270411	0.868906367														
CFAP300	0.397511345	1	1														
CLK1	2.700232872	0.041574574	0.528353915														
RNF148	0.171647367	1	1														
C4orf45	-0.194135156	1	1														
OPRM1	1.561753033	0.710077081	1														
UBE2J1	-0.701609113	1	1														
SLC22A5	1.633813703	0.613787845	1														
TMEM132C	-2.65930811	0.046980792	0.560687349														
ABTB2	-1.595429294	0.663697618	1														
C4B	-0.35225708	1	1														
ASXL2	1.75997475	0.470472528	1														
VRK2	0.829941822	1	1														
NT5C3B	1.204627452	1	1														
PDE1A	0.733944753	1	1														
NFE2	1.864510748	0.373500081	1														
MTMR10	-1.801424119	0.429816345	1														
FCHSD1	0.332557168	1	1														
CD36	-0.032952774	1	1														
OXNAD1	1.885364832	0.356283592	1														
CHST15	-2.444010176	0.087150101	0.75494516														
TC2N	1.067493507	1	1														
SLC22A23	-1.469146891	0.85075771	1														
EFCC1	1.326356823	1	1														
DNTTIP2	3.297634034	0.005850188	0.198656769														
PLEKHF1	-4.083903277	0.000265713	0.040766109														
SFRP4	-0.173656949	1	1														
FGF13	1.178030179	1	1														
KYAT1	2.561942002	0.062453219	0.645518257														
ZNF683	1.619663257	0.631827799	1														
AGBL3	-1.110631869	1	1														
MRO	-0.109812429	1	1														
ATXN1	-0.137741392	1	1														
CNGA3	0.189240458	1	1														
ZNF385C	0.774942385	1	1														
C1GALT1	1.060783007	1	1														
SESN1	0.013874546	1	1														
TLR6	-0.019948589	1	1														
NEIL2	1.835425307	0.398656181	1														
TEX48	1.294784711	1	1														
GLYCTK	1.098556888	1	1														
VPS8	0.791432153	1	1														
HK1	1.896030524	0.34773605	1														
CASP1	-0.11311281	1	1														
VEZT	2.037302348	0.249718516	1														
AJM1	-1.222842492	1	1														
TENT4B	-1.256387293	1	1														
PTPN13	2.727855724	0.03824849	0.501449419														
VPS53	0.716739597	1	1														
GCA	3.143872106	0.010003697	0.255284736														
C16orf90	-1.14509613	1	1														
TMPRSS4	2.612656884	0.053904869	0.597930835														
NKIRAS1	0.849024743	1	1														
NEFM	1.292209075	1	1														
SULT1C2	0.949958432	1	1														
SPECC1L	0.960429203	1	1														
BNIP5	1.740725496	0.490390241	1														
CDC45	1.467244423	0.853857458	1														
NELL2	1.540655428	0.740404021	1														
IGFL1	-1.240360946	1	1														
APEH	0.916183079	1	1														
TTLL13P	-1.928667757	0.322632729	1														
HRH1	0.961703424	1	1														
ANXA11	-2.395220013	0.099662369	0.808859535														
PDZD2	0.922247694	1	1														
MSANTD1	-2.401046549	0.09808954	0.804528893														
DDX31	2.159607961	0.184818189	1														
SNRPB	1.524007709	0.765040713	1														
C4orf51	2.271924272	0.138546508	0.961446734														
CXCR6	1.083436099	1	1														
PAM	0.626676195	1	1														
LRCH3	1.728344245	0.50355915	1														
CARF	1.865344972	0.372798392	1														
SLC12A3	3.001281794	0.016130739	0.328349403														
BDNF	1.606230489	0.64933966	1														
GPATCH4	2.062869735	0.234750038	1														
S1PR5	0.868227483	1	1														
EGR2	0.906479704	1	1														
ACOXL	2.563387109	0.062193843	0.644407153														
NSD1	2.543459238	0.065856518	0.661223698														
TRMT2A	1.644020663	0.601031606	1														
DHFR	0.070656737	1	1														
ATP6AP1L	1.117878131	1	1														
METTL11B	-0.484282196	1	1														
SNAP91	-0.113513095	1	1														
FGF16	-1.068426033	1	1														
UNC80	1.268131182	1	1														
PISD	2.425896593	0.091623724	0.777416303														
TMEM120A	0.874596704	1	1														
DISC1	2.042750413	0.246462909	1														
ARL6IP4	1.589808427	0.671267962	1														
MTMR11	1.32017289	1	1														
MRPL22	1.462342431	0.861884379	1														
CCDC188	1.543891974	0.735687029	1														
TMEM125	-1.644010507	0.601044192	1														
HERPUD1	1.249800331	1	1														
EIF4A2	-0.868042692	1	1														
MOGAT3	-0.521478979	1	1														
CRACR2A	0.968958764	1	1														
DIXDC1	0.048566911	1	1														
TDRKH	-0.07934764	1	1														
PSD3	2.419216094	0.093323983	0.781604831														
PHACTR2	0.472769858	1	1														
BMPR1B	1.307297766	1	1														
SLC18A1	0.712381397	1	1														
ESR1	-0.839585198	1	1														
EBF3	-0.962350842	1	1														
AGBL1	0.490378996	1	1														
RFPL4B	3.928007702	0.000513915	0.058430279														
LAMTOR4	0.767395631	1	1														
TBRG1	0.778270666	1	1														
FAM237A	0.945510851	1	1														
PRMT7	1.326337989	1	1														
PMS1	0.562129051	1	1														
PAK6	-1.412106046	0.947512432	1														
MICAL3	-2.450968591	0.085483431	0.74914902														
HHATL	1.015231306	1	1														
MRGPRF	-1.84176373	0.393058305	1														
CNBP	1.267318339	1	1														
STXBP2	0.949510495	1	1														
KDM8	1.449433918	0.883298654	1														
FAT1	0.383898455	1	1														
LACC1	0.484554411	1	1														
BCL2L12	0.32130467	1	1														
TGFBI	-0.450379145	1	1														
ABCB9	-0.954274567	1	1														
C16orf91	2.453069005	0.084985898	0.748863491														
LRRC74B	1.459324529	0.866854844	1														
GMNC	3.655970941	0.001537262	0.103574062														
FDXR	2.886543419	0.02336994	0.391569496														
GLT1D1	-1.54141267	0.739298295	1														
ZNF410	0.164301532	1	1														
DOCK9	1.647889872	0.596251633	1														
CCPG1	2.94446139	0.019411039	0.364082784														
NLE1	-0.016670822	1	1														
ITGA6	-1.710973946	0.522515535	1														
TBC1D9	0.12208253	1	1														
POLG	1.392471086	0.982678748	1														
ELP2	1.970037542	0.293004409	1														
GCNT1	2.431320591	0.09026338	0.771418714														
ZNF839	0.31750897	1	1														
MSLNL	-0.123333092	1	1														
FEZF1	-2.169625306	0.180211456	1														
CA10	-1.884242169	0.357193356	1														
PTPRC	0.712564683	1	1														
DCC	1.176848673	1	1														
LAX1	0.979312721	1	1														
NRBP2	-0.226387262	1	1														
NOL8	0.68522226	1	1														
MEIKIN	3.864387122	0.000668211	0.0652194														
DNAJB14	-1.177830161	1	1														
MYO1A	0.632137178	1	1														
CLNK	0.694030026	1	1														
WASHC1	1.215827051	1	1														
OXR1	1.508061401	0.789232878	1														
A3GALT2	0.137390262	1	1														
RPSA	0.406835532	1	1														
METTL6	2.211681071	0.161932256	1														
CISH	-0.379370691	1	1														
RBM6	2.632787716	0.050812356	0.581279299														
ZNF516	-2.870540091	0.024586274	0.402936437														
ZNF276	-0.587337181	1	1														
CCDC141	2.811851286	0.029554363	0.439655673														
CROCC2	0.387917874	1	1														
NECAP2	3.915218985	0.000541933	0.05998286														
RMND1	1.155177137	1	1														
DDC	0.906110959	1	1														
RECQL	0.836862984	1	1														
TAMM41	2.34298358	0.11478135	0.878909026														
TDRD5	-0.126573619	1	1														
ADIPOQ	-0.246589263	1	1														
SH2D5	1.007955731	1	1														
AP1M1	0.946954627	1	1														
TMEM238	1.365199589	1	1														
ZFAND2B	-1.820514926	0.412083752	1														
CCDC122	1.471781152	0.84647991	1														
KIAA0040	-0.861845441	1	1														
DTNA	0.200852675	1	1														
OGDH	0.205371158	1	1														
RIF1	2.514245136	0.071572492	0.687333421														
INTS2	1.992923162	0.277619169	1														
RELL2	1.71676168	0.516136352	1														
GPR146	-0.129014553	1	1														
SLC13A2	3.855506893	0.00069294	0.0652194														
RNF224	2.251831139	0.145997671	0.986801665														
PATE3	0.396002084	1	1														
SHANK3	-2.709846617	0.040388598	0.520133395														
CLDN34	-0.580065358	1	1														
MTMR1	-1.315123706	1	1														
GRB7	0.899537824	1	1														
ADAM8	-1.063984466	1	1														
MSR1	1.524935934	0.763650468	1														
CCDC81	-0.943629333	1	1														
MXRA8	0.859752012	1	1														
BCAP29	1.015341185	1	1														
MAMDC4	0.861041798	1	1														
CARNS1	0.479621679	1	1														
CHRM2	-1.680933783	0.556654663	1														
STPG4	1.933975445	0.318696882	1														
INPP5D	0.946659023	1	1														
MAPKAPK3	-2.264107982	0.141404845	0.973240365														
SERPINI1	1.792310348	0.4384996	1														
ZDHHC13	0.761287148	1	1														
DCT	1.264523932	1	1														
ZNF300	-0.294381883	1	1														
ANKUB1	1.3547543	1	1														
FNBP1	2.147622705	0.190462442	1														
DCAF11	0.986254505	1	1														
SMG1	-0.002466642	1	1														
CAMSAP3	-2.228257626	0.155180042	1														
FKBP15	1.848792318	0.386926842	1														
PRRT4	0.848282476	1	1														
IFTAP	1.411085796	0.949315906	1														
TAS2R39	1.444523244	0.891551077	1														
IL5RA	-0.008336495	1	1														
MOGAT1	1.236979433	1	1														
CNTN6	-1.200639679	1	1														
TBC1D5	1.343613556	1	1														
LRRC34	3.744456956	0.001084706	0.086872004														
SLC4A10	-0.996563205	1	1														
CDK12	1.928731699	0.322585073	1														
HYAL2	-0.59610332	1	1														
PIK3R5	-0.662305211	1	1														
TMEM176B	0.913237242	1	1														
SENP6	0.651758677	1	1														
SERPINE2	1.359565705	1	1														
C7orf25	-1.629808081	0.618852391	1														
CCDC173	1.473731545	0.843323316	1														
PACS2	-2.770950628	0.033535741	0.467878058														
PTX4	-0.351332838	1	1														
PROM1	3.099862403	0.011616634	0.271424247														
CYB561A3	-0.2027691	1	1														
CHD9	0.683100816	1	1														
SS18L2	1.268188388	1	1														
TTC39A	1.600341067	0.657137646	1														
TECPR1	0.146407364	1	1														
PNCK	0.4564383	1	1														
GDI1	-2.159625647	0.184809968	1														
GPR141	-0.914731828	1	1														
KASH5	0.721656866	1	1														
OTUD4	-1.279653538	1	1														
PNPT1	1.527161005	0.760325882	1														
GRIA1	0.089856105	1	1														
CALCOCO2	1.661112975	0.580144555	1														
TAF1D	1.31621606	1	1														
SHC1	0.076268667	1	1														
WWC2	0.507821095	1	1														
LRRC69	3.179979493	0.008837129	0.242592403														
CDK3	0.301752709	1	1														
SLC22A14	0.644131255	1	1														
ARSG	0.7750303	1	1														
TBC1D14	-0.084112889	1	1														
KAT8	1.531381354	0.754051017	1														
WDR27	0.025931057	1	1														
MOGS	0.978450517	1	1														
IFNE	2.214396082	0.160809265	1														
CLMP	0.793130065	1	1														
WBP1L	0.645480894	1	1														
CHCHD3	-0.955705569	1	1														
TESPA1	2.9458809	0.019322182	0.363977323														
ASCL5	0.364935603	1	1														
SKIDA1	-1.83096697	0.402632839	1														
C3orf18	0.242590326	1	1														
PMEL	1.328047691	1	1														
TNF	1.527787282	0.759392165	1														
NAPRT	-0.565184529	1	1														
CFAP97D1	1.744507069	0.486424259	1														
CLEC18A	2.542196191	0.066094993	0.661223698														
B3GNT9	0.907254478	1	1														
LPIN1	-1.159029147	1	1														
PTH1R	-0.592287939	1	1														
TMEM120B	0.107959172	1	1														
EOMES	1.091483432	1	1														
MST1	1.083401304	1	1														
PLEKHA8	0.183097717	1	1														
IMPA1	0.357162165	1	1														
TRIM10	0.874321268	1	1														
ACOD1	3.319507513	0.005410583	0.190824003														
QPRT	-0.248471678	1	1														
RAPGEF3	0.634237925	1	1														
NBEAL1	2.552955232	0.064087935	0.655498602														
CHID1	-1.963292368	0.297673271	1														
KDM1B	0.231479156	1	1														
ILF3	1.640865488	0.604952043	1														
ITIH3	0.563099071	1	1														
ARL13A	-0.224079581	1	1														
NBEAL2	0.351090841	1	1														
WEE1	3.009027788	0.015725109	0.324543813														
TRIM32	1.021267238	1	1														
CDH17	1.260264088	1	1														
LSM5	0.994783597	1	1														
BTBD19	0.83382624	1	1														
COMMD5	0.625334802	1	1														
LANCL1	-0.144907768	1	1														
MINDY2	2.133667758	0.197219923	1														
RAB11FIP3	0.341590439	1	1														
TCEA3	0.283683575	1	1														
CDK15	0.619787835	1	1														
FETUB	0.3022173	1	1														
REPS1	1.400940411	0.967391359	1														
ADCYAP1	0.873512752	1	1														
EFCAB3	1.693953118	0.541645152	1														
ELAPOR2	-0.526042971	1	1														
ATCAY	0.608615674	1	1														
STRC	1.360137473	1	1														
SMIM34A	2.138159814	0.195022648	1														
USP40	0.55337215	1	1														
SEMA5B	0.306670158	1	1														
POLDIP3	-0.520289874	1	1														
LRRN3	-0.830881973	1	1														
TK2	0.795792847	1	1														
ZNF219	-0.031329411	1	1														
TEX22	-0.513400649	1	1														
EIF2B4	1.386147738	0.994210776	1														
CCN1	1.886956369	0.354997166	1														
B3GALT4	0.76780325	1	1														
ZNF692	0.372408918	1	1														
NOL7	3.482553818	0.002979932	0.13979978														
INTS12	0.974935233	1	1														
MTFR2	1.930568487	0.321218629	1														
ASB15	-0.09008941	1	1														
TMEM159	0.818430007	1	1														
PENK	0.797569889	1	1														
NEURL3	-1.296940136	1	1														
OSGIN2	-1.35185847	1	1														
SRSF12	1.406834659	0.956858536	1														
DSE	0.231326769	1	1														
MAPK9	-0.963106196	1	1														
GLI2	0.662137891	1	1														
DYTN	3.672717773	0.001439907	0.101358677														
TMPRSS7	1.176340378	1	1														
NCOA2	0.690218301	1	1														
TGM7	1.698640822	0.53632128	1														
MYBPC1	-0.937058831	1	1														
SLC35A2	0.753350685	1	1														
ZC3H18	-0.718838573	1	1														
SLFN12	1.007290744	1	1														
BZW1	-0.484709918	1	1														
WT1	1.701485953	0.53311064	1														
CCM2L	1.02549939	1	1														
RAPH1	0.262681672	1	1														
PIGG	-3.270094336	0.006450697	0.207432275														
SLC4A8	1.43318622	0.91082776	1														
CLDN25	-1.111100366	1	1														
FASTKD1	2.24969168	0.146811144	0.989149794														
TRIM26	-2.771946592	0.033433307	0.467845857														
URGCP	-2.3240074	0.120750584	0.901311807														
UNC5C	-0.756545675	1	1														
TMEM67	3.135434351	0.01029599	0.258597899														
RAB34	1.3566015	1	1														
MARCHF8	1.536350103	0.746715224	1														
CEP170B	-1.76772617	0.462640157	1														
TENT2	1.207405681	1	1														
HEPACAM2	2.221577047	0.157871415	1														
TCF3	1.477978905	0.836480548	1														
SLC12A5	-1.284016882	1	1														
ATXN7L3	-0.841918308	1	1														
C2CD4D	-0.233797896	1	1														
BTNL2	1.430082048	0.916160832	1														
DGKZ	0.662131981	1	1														
TNRC6B	-0.063213377	1	1														
SLC39A5	1.371622687	1	1														
GTSE1	-0.692423895	1	1														
SLC4A7	0.907925715	1	1														
RFC5	0.520615998	1	1														
CNOT10	-0.182970588	1	1														
TMEM169	0.709716611	1	1														
USP41	-1.219256143	1	1														
HS3ST6	1.893041118	0.350114409	1														
MALRD1	4.201188487	0.00015931	0.032105125														
LTA	3.157669099	0.009542158	0.249506862														
GABRR1	-3.857481721	0.000687367	0.0652194														
NAALADL2	0.691535198	1	1														
EPS15L1	1.366499606	1	1														
COG6	-1.430763122	0.914988693	1														
CHTF18	-0.319493478	1	1														
TARS1	0.842330397	1	1														
SACS	-0.713570117	1	1														
SLC23A3	1.152047482	1	1														
RUSC2	0.637863246	1	1														
PRSS48	1.885300455	0.356335709	1														
CLEC2A	-1.482366465	0.829456872	1														
GTF2IRD1	2.194567918	0.169167642	1														
GLRA1	-0.8561313	1	1														
TMEM232	1.98064128	0.285789097	1														
NDUFS1	-0.148520086	1	1														
SLC30A8	1.505868144	0.792606154	1														
TANGO2	0.896239691	1	1														
TRRAP	0.729024985	1	1														
DEPDC1	1.53356154	0.750825337	1														
CATSPER4	2.337745169	0.116402829	0.88230573														
CAND2	-3.916081811	0.000539998	0.05998286														
CAPN5	0.275642057	1	1														
SYTL5	0.349686606	1	1														
PAPSS2	2.132241501	0.19792199	1														
GOLGA3	-1.917289856	0.331206707	1														
STK11IP	0.422164584	1	1														
TSGA13	1.109032002	1	1														
BHMG1	0.232583114	1	1														
PDCD6IP	0.865466786	1	1														
GRID2IP	-1.685231806	0.551663141	1														
DHX57	1.211074729	1	1														
CAPNS2	0.69152806	1	1														
TMX1	-0.130674211	1	1														
TMED4	-1.121685748	1	1														
FGFR2	0.390117427	1	1														
CEP44	2.585516907	0.058339862	0.621932205														
MYO16	1.881749035	0.359220591	1														
MAPKBP1	1.738007964	0.493256463	1														
SAMD3	0.201406454	1	1														
TEX264	0.101692077	1	1														
DHX30	-0.568852563	1	1														
PLS1	0.287769971	1	1														
SMARCAD1	1.568751828	0.700234661	1														
BCKDHA	0.924011758	1	1														
OSR2	0.586536454	1	1														
TBL1XR1	-0.21999285	1	1														
SNX27	-0.869484125	1	1														
SULF1	1.486855189	0.82231837	1														
LMNTD1	1.437650423	0.903199598	1														
CDKN2AIPNL	-0.139330185	1	1														
JAK3	2.871212708	0.024534017	0.402598153														
NOSTRIN	0.402147455	1	1														
CFAP97	2.625864174	0.051857579	0.586437912														
CLSTN2	0.975196403	1	1														
LRRD1	0.738029208	1	1														
TRAPPC2	0.699128032	1	1														
TMEM64	-2.460273123	0.083298791	0.739182442														
LMOD2	-1.210901808	1	1														
UBE2L3	1.121143218	1	1														
EXD1	2.301704937	0.128110906	0.930082253														
BCAP31	-2.604565462	0.055194508	0.607583728														
CD28	-0.400178216	1	1														
MYO7A	-0.427302508	1	1														
DDX39B	-0.101180582	1	1														
ARMH1	1.037652465	1	1														
TSC22D1	-0.002914444	1	1														
PRICKLE4	0.623429316	1	1														
ZNF575	-0.059550115	1	1														
SHROOM4	1.801164674	0.430061571	1														
BAP1	0.08806826	1	1														
DRD3	3.264598645	0.006577157	0.209908567														
EHMT1	-1.690975404	0.545049002	1														
KCNIP2	-0.811401052	1	1														
RNF112	-2.097729648	0.215574206	1														
HTD2	2.480752358	0.078663254	0.722387848														
POR	1.249144221	1	1														
C3orf14	2.626162054	0.051812217	0.586437912														
TFR2	1.134726115	1	1														
TKT	-0.9474994	1	1														
ADCY5	0.043065973	1	1														
CGGBP1	-0.355928236	1	1														
CYP2E1	-0.164521589	1	1														
ARL6	-0.1048044	1	1														
PLCD1	-0.0397656	1	1														
LYRM4	0.089454688	1	1														
ROBO1	0.407932905	1	1														
PIGP	-1.002169458	1	1														
GPR156	2.866096161	0.02493408	0.405505197														
B3GNT10	2.165277963	0.18219843	1														
RAB9A	-2.118148017	0.204975204	1														
ZC3HAV1	0.680825277	1	1														
PGAP2	0.850842651	1	1														
MRPS22	2.933816532	0.020089324	0.370781641														
CNIH4	-0.165168293	1	1														
RTL9	0.654433149	1	1														
MINDY4B	3.146955747	0.009898796	0.25464902														
STIM2	0.673153085	1	1														
RAB42	2.131648388	0.198214576	1														
CDNF	1.222538144	1	1														
TBC1D2	0.498262352	1	1														
WWTR1	-0.088452708	1	1														
RASA4B	0.611456193	1	1														
DNAJC24	0.957454439	1	1														
PCCB	1.673996869	0.564787288	1														
MLF1	2.680290122	0.044135026	0.543535218														
CPA5	1.997419123	0.274678033	1														
SRPRB	-0.942742924	1	1														
CREG1	-1.272031892	1	1														
MALSU1	1.168965616	1	1														
HELZ2	-1.112130671	1	1														
GPR143	-1.48602972	0.82362756	1														
CALML4	0.701852148	1	1														
BRD9	-0.728099933	1	1														
HBP1	0.249128364	1	1														
KIF12	3.124788703	0.010675969	0.263976296														
KLF8	-1.004634569	1	1														
DBNL	-2.322385416	0.121273151	0.903029268														
PPIA	0.416868051	1	1														
ARMC8	-0.129239775	1	1														
PUS7	2.285144276	0.133826216	0.950532461														
SLC12A8	4.285455747	0.000109419	0.027320415														
HFE	0.439770041	1	1														
KLC3	0.920438763	1	1														
GOLIM4	0.582846634	1	1														
LRRC75A	0.830643843	1	1														
SELENOT	1.365182904	1	1														
ABI3BP	-0.303517127	1	1														
MFN1	-1.718377455	0.514366739	1														
SLC45A1	-1.539126117	0.742641061	1														
MYSM1	3.159262814	0.009490127	0.249506862														
TAF6	3.749506225	0.001063099	0.086226098														
C16orf89	-0.099371943	1	1														
NMD3	0.082343266	1	1														
TMEM44	2.580858222	0.059133029	0.626977507														
UBN2	-0.691978416	1	1														
WNT5A	0.412816853	1	1														
MED12L	1.750111908	0.480594033	1														
ATPAF2	0.358238163	1	1														
PARP14	0.872374548	1	1														
NSUN4	0.766702873	1	1														
LMF2	-1.676080079	0.562335049	1														
PTPRG	2.153390426	0.187728044	1														
SPATA6L	0.976909799	1	1														
ZNF398	0.566244848	1	1														
SUPT20H	-0.312579432	1	1														
NDUFB2	0.840718306	1	1														
SMIM29	-0.521610528	1	1														
CCDC39	3.575967426	0.002093611	0.118489055														
MRPL47	1.506592373	0.791491041	1														
ALG2	-0.647386959	1	1														
CAMKV	1.573185835	0.694054766	1														
ST6GALNAC5	-0.912811175	1	1														
FAM162A	1.962456404	0.298256229	1														
TAFA1	0.611707427	1	1														
AL353579	1.960155743	0.299865537	1														
ADPRH	1.064338959	1	1														
DUSP13	1.072923765	1	1														
GLT8D1	1.232003998	1	1														
NISCH	0.346697874	1	1														
GPBAR1	3.31877924	0.005424713	0.190824003														
GSTK1	2.409573968	0.095826949	0.795151384														
C21orf62	-1.488158893	0.820253971	1														
AZI2	0.528568442	1	1														
TCAF1	0.320942181	1	1														
JAM2	-1.930106425	0.321561915	1														
ASB11	0.944825914	1	1														
CST7	1.881470239	0.35944788	1														
RSRC1	0.144703774	1	1														
TIGIT	2.423629979	0.09219752	0.779059864														
BTBD9	0.926639541	1	1														
FSBP	0.130456353	1	1														
RBM48	1.990584069	0.279159799	1														
KNCN	-1.93210539	0.320078995	1														
CFAP20DC	4.785342971	1.02E-05	0.008354919														
PLSCR5	2.275406733	0.137289251	0.961446734														
SCHIP1	2.405320278	0.096949785	0.801251054														
ABHD14B	0.036253896	1	1														
TTC12	0.311301404	1	1														
TREML2	4.204682637	0.000156869	0.032105125														
KIAA0408	3.563250224	0.002197747	0.119089848														
DNAJC12	1.529507326	0.756832346	1														
HAX1	1.256950624	1	1														
FXN	-0.556079076	1	1														
HOXB6	-0.742283252	1	1														
QTRT2	0.957819103	1	1														
NECTIN3	1.724657079	0.507535742	1														
EFCAB10	0.133349337	1	1														
SLC4A2	-0.677212655	1	1														
CDK5	-0.511104591	1	1														
KLHL29	-2.474265731	0.08010621	0.727504141														
RAB11FIP5	0.101794289	1	1														
ADAM9	3.549737346	0.002313694	0.121245187														
ASB14	1.20414095	1	1														
IVD	1.845077526	0.390157571	1														
TFAM	2.260225715	0.142843474	0.974508992														
KCNT1	0.323865776	1	1														
RAD51B	1.525944874	0.762141563	1														
CUTA	1.717463347	0.515367276	1														
C1orf94	-0.642957086	1	1														
CCDC14	-0.181403248	1	1														
VAMP2	0.237094296	1	1														
UHMK1	-0.587716863	1	1														
OPN5	0.282213251	1	1														
REPIN1	0.870792214	1	1														
IRF5	0.803092516	1	1														
SLC15A2	0.086357294	1	1														
LNP1	1.649896447	0.593784706	1														
LSAMP	-0.775424504	1	1														
THOC5	-1.293664381	1	1														
SMYD3	-0.385998743	1	1														
KCNAB1	-0.7503715	1	1														
FAM178B	1.110057977	1	1														
SLC26A8	1.343777894	1	1														
SPATA1	0.631761243	1	1														
FLNB	2.578565374	0.059526915	0.628826616														
ONECUT2	-1.375651079	1	1														
CPB1	6.383347123	1.04E-09	6.62E-06														
ERICH6	2.876660567	0.02411446	0.399315383														
SNX21	0.79462578	1	1														
UTP25	0.616974333	1	1														
SRSF10	-2.210950165	0.162235729	1														
SLC35A5	0.722988884	1	1														
HADHA	3.468191583	0.003143842	0.143143135														
FNDC3A	2.053169049	0.24033711	1														
MME	-0.956542301	1	1														
PSMD6	0.116252789	1	1														
POPDC2	-0.312784259	1	1														
SUCLG2	0.365661146	1	1														
RWDD2B	0.138942921	1	1														
RPL7L1	0.5690466	1	1														
CFAP74	-0.293676869	1	1														
TBRG4	-0.360060769	1	1														
CLIC3	-0.121213509	1	1														
TIMMDC1	2.78528704	0.032088214	0.459113844														
SUSD4	-1.229873851	1	1														
EBP	0.527499675	1	1														
SELENOK	0.195741383	1	1														
HACD4	0.482164174	1	1														
PHC3	0.750582738	1	1														
PIK3CG	0.668811424	1	1														
KRBA1	1.046794995	1	1														
DENND2A	0.361856298	1	1														
DHX36	2.078460172	0.226001973	1														
EVX1	1.445715174	0.889542639	1														
IL18BP	0.588212132	1	1														
RGL2	1.723791341	0.50847311	1														
IAH1	1.37698428	1	1														
RRP1	0.65479223	1	1														
LCN10	0.31481915	1	1														
PPM1L	-0.406731782	1	1														
CASR	1.429378165	0.917373425	1														
HOXB3	0.839062051	1	1														
KIAA2012	3.191084526	0.008504388	0.236920461														
ADAMTS9	0.815692803	1	1														
KIF1A	-3.476557006	0.003047377	0.140598929														
TMEM267	0.583830295	1	1														
