"","names.phenotypeVector.","names.commonPhenotypeVector.","phenotypeVector"
"vs_HLnasNar1","vs_HLnasNar1","White-nosed coati","0"
"vs_HLneoLep1","vs_HLneoLep1","Desert woodrat","0"
"vs_HLneoMos1","vs_HLneoMos1","Suni","1"
"vs_HLneoPyg1","vs_HLneoPyg1","Royal antelope","1"
"vs_HLneoVis1","vs_HLneoVis1","American mink","0"
"vs_HLnycHum2","vs_HLnycHum2","Evening bat","0"
"vs_HLodoHem1","vs_HLodoHem1","Mule deer","0"
"vs_HLoreOre1","vs_HLoreOre1","Klipspringer","1"
"vs_HLoryGaz1","vs_HLoryGaz1","Gemsbok","1"
"vs_HLoviNivLyd1","vs_HLoviNivLyd1","Snow sheep","1"
"vs_HLpedCap1","vs_HLpedCap1","South African springhare","0"
"vs_HLpepEle1","vs_HLpepEle1","Melon-headed whale","0"
"vs_HLperCri1","vs_HLperCri1","Canyon mouse","0"
"vs_HLperEre1","vs_HLperEre1","Cactus mouse","0"
"vs_HLphaGym1","vs_HLphaGym1","Ground cuscus","0"
"vs_HLphaCin1","vs_HLphaCin1","Koala","0"
"vs_HLphiMax1","vs_HLphiMax1","Maxwell's duiker","1"
"vs_HLphoVit1","vs_HLphoVit1","Harbor seal","0"
"vs_HLphyDis3","vs_HLphyDis3","Pale spear-nosed bat","0"
"vs_HLplaMin1","vs_HLplaMin1","Indus river dolphin","0"
"vs_HLpotFla1","vs_HLpotFla1","Kinkajou","0"
"vs_HLproPrz1","vs_HLproPrz1","Przewalski's gazelle","1"
"vs_HLproLot1","vs_HLproLot1","Raccoon","0"
"vs_HLproSim1","vs_HLproSim1","Greater bamboo lemur","0"
"vs_HLpseCup1","vs_HLpseCup1","Coppery ringtail possum","0"
"vs_HLpteGig1","vs_HLpteGig1","Indian flying fox","0"
"vs_HLpumYag1","vs_HLpumYag1","Jaguarundi","0"
"vs_HLrhiFer5","vs_HLrhiFer5","Greater horseshoe bat","0"
"vs_HLrhiPru1","vs_HLrhiPru1","Hoary bamboo rat","0"
"vs_HLrhoOpi1","vs_HLrhoOpi1","Great gerbil","0"
"vs_HLrouLes1","vs_HLrouLes1","Leschenault's rousette","0"
"vs_HLsciCar1","vs_HLsciCar1","Eastern gray squirrel","0"
